source_id,source_name,source_type,url,province_scope,expected_data,allowed_use,requires_manual_review,priority,notes
nvm_seed_existing,Existing NVM harvester seed,seed_registry,data/processed/sources_seed_noord_brabant.csv,Noord-Brabant,"office_name; website; root_domain; plaats; provincie; koopaanbod_url_quality; review flags",seed_import,false,1,"Base inicial ya procesada; sirve como benchmark operativo y punto de enriquecimiento; no reemplaza discovery adicional."
nvm_official_search,NVM official makelaar search,directory,https://www.nvm.nl/makelaars/,Noord-Brabant,"office_name; plaats; website; membership hints; office profile URLs",directory_discovery,true,1,"Directorio oficial prioritario para ampliar cobertura NVM; requiere revision manual previa al diseno de automatizacion."
nvm_brabant_noordoost,NVM Brabant Noord-Oost regional page,regional_directory,https://www.nvm.nl/makelaars/brabant-noord-oost/,Noord-Brabant,"office_name; plaats; website; contact hints; regional membership context",directory_discovery,true,1,"Fuente regional enfocada en oficinas del noreste de Brabant; util para cubrir municipios que no salen bien en el seed."
nvm_brabant_zuidoost,NVM Brabant Zuidoost regional page,regional_directory,https://www.nvm.nl/makelaars/brabant-zuidoost/,Noord-Brabant,"office_name; plaats; website; contact hints; regional membership context",directory_discovery,true,1,"Fuente regional para Eindhoven y entorno; prioritaria para cobertura del sudeste."
nvm_west_brabant_placeholder,NVM West-Brabant / regional search placeholder,regional_search_placeholder,https://www.nvm.nl/makelaars/,Noord-Brabant,"regional office candidates; search patterns; missing regional URLs to confirm",manual_review,true,2,"Placeholder controlado para localizar West-Brabant y otras paginas regionales aun no fijadas; no automatizar hasta confirmar URL exacta."
vastgoed_nederland_main,Vastgoed Nederland main site,association_directory,https://vastgoednederland.nl/,Noord-Brabant,"member office names; office pages; website links; association membership",directory_discovery,true,1,"Clave para descubrir makelaars no NVM; la estructura y permisos de uso deben revisarse antes de cualquier automatizacion."
vastgoed_nederland_aanbod,Vastgoed Nederland aanbod,association_aggregator,https://vastgoednederland.nl/woningaanbod/,Noord-Brabant,"property URLs; makelaar names; listing locations; possible office websites",aggregator_property_discovery,true,1,"Se usa para descubrir makelaars desde propiedades publicadas, no como verdad unica del inventario."
huislijn_nb_koop,Huislijn Noord-Brabant koopwoningen,aggregator,https://www.huislijn.nl/koopwoningen/nederland/noord-brabant,Noord-Brabant,"property URLs; makelaar names; plaats; prijs; listing metadata",aggregator_property_discovery,true,1,"Agregador util para detectar oficinas y aanbod activo; revisar duplicados y atribucion por makelaar."
huispedia_nb_koop,Huispedia Noord-Brabant koopwoningen,aggregator,https://huispedia.nl/koop/noord-brabant,Noord-Brabant,"property URLs; address hints; makelaar names; market context",aggregator_property_discovery,true,2,"Puede aportar cobertura adicional y senales de mercado; requiere validacion manual por estructura cambiante y mezcla de datos editoriales."
pararius_nb_koop,Pararius Noord-Brabant koopwoningen,aggregator,https://www.pararius.nl/koopwoningen/noord-brabant,Noord-Brabant,"property URLs; listing locations; makelaar names; pricing metadata",aggregator_property_discovery,true,2,"Util como capa complementaria de property discovery; no debe tratarse como source canonica de makelaars."
search_controlled_gemeente,Google/Bing controlled gemeente queries,search_query,https://www.google.com/search?q=makelaar+koopwoningen+site%3A.nl,Noord-Brabant,"candidate office domains; municipality coverage gaps; query patterns; missing directory hits",search_query_discovery,true,1,"Busqueda asistida por gemeente para cerrar huecos de cobertura; resultados requieren revision manual y registro de metodo."
manual_advisor_input,Manual advisor input from Domek,manual_input,internal://domek/manual-advisor-input,Noord-Brabant,"office names; websites; aanbod URLs; local knowledge; prioritization hints",manual_review,true,1,"Entrada manual de asesores Domek para incorporar oficinas conocidas, URLs de aanbod y correcciones no detectadas por directorios."
funda_nb_benchmark,Funda Noord-Brabant benchmark only,benchmark,https://www.funda.nl/makelaars/provincie-noord-brabant/,Noord-Brabant,"approximate public benchmark count only; no data extraction",benchmark_only;no_automated_scraping,true,3,"Only used as manual coverage benchmark. Do not scrape. Do not bypass captcha. Do not automate."
