gemeente,total_sources,with_website,with_valid_koopaanbod_url,with_suspect_koopaanbod_url,missing_koopaanbod_url,needs_review_count,needs_review_rate,valid_aanbod_rate,zero_valid_aanbod,high_review_rate,low_count,important_city,priority_score,recommendation
Boxtel,5,3,2,0,3,3,0.6000,0.4000,false,true,false,true,50,High review rate; verify websites and aanbod links.
Alphen-Chaam,2,2,1,0,1,1,0.5000,0.5000,false,true,true,false,45,High review rate; verify websites and aanbod links.
Bergeijk,4,3,1,0,3,3,0.7500,0.2500,false,true,false,false,30,High review rate; verify websites and aanbod links.
Reusel-De Mierden,4,3,1,1,2,3,0.7500,0.2500,false,true,false,false,30,High review rate; verify websites and aanbod links.
Dongen,3,3,1,1,1,2,0.6667,0.3333,false,true,false,false,30,High review rate; verify websites and aanbod links.
Gilze en Rijen,3,2,1,0,2,2,0.6667,0.3333,false,true,false,false,30,High review rate; verify websites and aanbod links.
Son en Breugel,3,3,1,1,1,2,0.6667,0.3333,false,true,false,false,30,High review rate; verify websites and aanbod links.
Baarle-Nassau,1,1,1,0,0,0,0.0000,1.0000,false,false,true,false,25,Low source count; expand local makelaar coverage.
Boekel,1,1,1,0,0,0,0.0000,1.0000,false,false,true,false,25,Low source count; expand local makelaar coverage.
Loon op Zand,1,1,1,0,0,0,0.0000,1.0000,false,false,true,false,25,Low source count; expand local makelaar coverage.
Rucphen,1,1,1,0,0,0,0.0000,1.0000,false,false,true,false,25,Low source count; expand local makelaar coverage.
Steenbergen,1,1,1,0,0,0,0.0000,1.0000,false,false,true,false,25,Low source count; expand local makelaar coverage.
Bladel,2,2,2,0,0,0,0.0000,1.0000,false,false,true,false,25,Low source count; expand local makelaar coverage.
Cranendonck,2,2,2,0,0,0,0.0000,1.0000,false,false,true,false,25,Low source count; expand local makelaar coverage.
Sint-Michielsgestel,2,2,2,0,0,0,0.0000,1.0000,false,false,true,false,25,Low source count; expand local makelaar coverage.
Zundert,2,2,2,0,0,0,0.0000,1.0000,false,false,true,false,25,Low source count; expand local makelaar coverage.
Vught,8,7,4,0,4,4,0.5000,0.5000,false,true,false,false,20,High review rate; verify websites and aanbod links.
Eindhoven,20,20,11,1,8,9,0.4500,0.5500,false,false,false,true,20,Important city with room to improve aanbod coverage.
Roosendaal,9,9,5,1,3,4,0.4444,0.5556,false,false,false,true,20,Important city with room to improve aanbod coverage.
Bergen op Zoom,7,6,4,2,1,3,0.4286,0.5714,false,false,false,true,20,Important city with room to improve aanbod coverage.
Breda,20,18,13,1,6,7,0.3500,0.6500,false,false,false,true,20,Important city with room to improve aanbod coverage.
Best,3,3,2,1,0,1,0.3333,0.6667,false,false,false,true,20,Important city with room to improve aanbod coverage.
Oosterhout,12,11,8,1,3,4,0.3333,0.6667,false,false,false,true,20,Important city with room to improve aanbod coverage.
's-Hertogenbosch,20,20,14,1,5,6,0.3000,0.7000,false,false,false,true,20,Important city with room to improve aanbod coverage.
Tilburg,20,20,16,2,2,4,0.2000,0.8000,false,false,false,true,20,Important city with room to improve aanbod coverage.
Helmond,17,17,14,1,2,3,0.1765,0.8235,false,false,false,true,20,Important city with room to improve aanbod coverage.
Etten-Leur,6,6,5,0,1,1,0.1667,0.8333,false,false,false,true,20,Important city with room to improve aanbod coverage.
Waalwijk,8,8,7,0,1,1,0.1250,0.8750,false,false,false,true,20,Important city with room to improve aanbod coverage.
Oss,11,11,10,1,0,1,0.0909,0.9091,false,false,false,true,20,Important city with room to improve aanbod coverage.
Altena,20,19,11,1,8,9,0.4500,0.5500,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.
Land van Cuijk,16,13,9,1,6,7,0.4375,0.5625,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.
Woensdrecht,7,6,4,2,1,3,0.4286,0.5714,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.
Drimmelen,12,11,7,2,3,5,0.4167,0.5833,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.
Geertruidenberg,12,11,7,2,3,5,0.4167,0.5833,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.
Deurne,6,6,4,0,2,2,0.3333,0.6667,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.
Oirschot,6,6,4,2,0,2,0.3333,0.6667,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.
Waalre,6,6,4,0,2,2,0.3333,0.6667,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.
Moerdijk,9,8,6,1,2,3,0.3333,0.6667,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.
"Nuenen, Gerwen en Nederwetten",9,9,6,1,2,3,0.3333,0.6667,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.
Heusden,17,17,12,0,5,5,0.2941,0.7059,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.
Asten,4,4,3,0,1,1,0.2500,0.7500,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.
Gemert-Bakel,4,4,3,0,1,1,0.2500,0.7500,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.
Heeze-Leende,4,4,3,0,1,1,0.2500,0.7500,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.
Someren,4,4,3,0,1,1,0.2500,0.7500,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.
Laarbeek,6,6,5,0,1,1,0.1667,0.8333,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.
Meierijstad,18,18,16,0,2,2,0.1111,0.8889,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.
Oisterwijk,10,10,9,1,0,1,0.1000,0.9000,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.
Eersel,3,3,3,0,0,0,0.0000,1.0000,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.
Goirle,3,3,3,0,0,0,0.0000,1.0000,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.
Bernheze,4,4,4,0,0,0,0.0000,1.0000,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.
Geldrop-Mierlo,4,4,4,0,0,0,0.0000,1.0000,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.
Hilvarenbeek,4,4,4,0,0,0,0.0000,1.0000,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.
Halderberge,5,5,5,0,0,0,0.0000,1.0000,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.
Maashorst,22,22,22,0,0,0,0.0000,1.0000,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.
