gemeente,region_group,is_important,notes,present_in_seed,total_sources,with_website,with_valid_koopaanbod_url,with_suspect_koopaanbod_url,missing_koopaanbod_url,needs_review_count,needs_review_rate,valid_aanbod_rate,zero_valid_aanbod,high_review_rate,low_count,important_city,priority_score,recommendation,missing_completely,low_coverage,priority_score_adjusted
Veldhoven,Zuidoost-Brabant,true,Important gemeente for prioritization.,false,0,0,0,0,0,0,0.0000,0.0000,true,false,true,true,100,Missing completely from current seed coverage.,true,true,185
Valkenswaard,Zuidoost-Brabant,false,,false,0,0,0,0,0,0,0.0000,0.0000,true,false,true,false,100,Missing completely from current seed coverage.,true,true,165
Alphen-Chaam,West-Brabant,false,,true,2,2,1,0,1,1,0.5000,0.5000,false,true,true,false,45,High review rate; verify websites and aanbod links.,false,true,70
Boxtel,Noordoost-Brabant,true,Important gemeente for prioritization.,true,5,3,2,0,3,3,0.6000,0.4000,false,true,false,true,50,High review rate; verify websites and aanbod links.,false,false,70
Bergeijk,Zuidoost-Brabant,false,,true,4,3,1,0,3,3,0.7500,0.2500,false,true,false,false,30,High review rate; verify websites and aanbod links.,false,true,55
Dongen,Midden-Brabant,false,,true,3,3,1,1,1,2,0.6667,0.3333,false,true,false,false,30,High review rate; verify websites and aanbod links.,false,true,55
Gilze en Rijen,Midden-Brabant,false,,true,3,2,1,0,2,2,0.6667,0.3333,false,true,false,false,30,High review rate; verify websites and aanbod links.,false,true,55
Reusel-De Mierden,Zuidoost-Brabant,false,,true,4,3,1,1,2,3,0.7500,0.2500,false,true,false,false,30,High review rate; verify websites and aanbod links.,false,true,55
Son en Breugel,Zuidoost-Brabant,false,,true,3,3,1,1,1,2,0.6667,0.3333,false,true,false,false,30,High review rate; verify websites and aanbod links.,false,true,55
Baarle-Nassau,West-Brabant,false,,true,1,1,1,0,0,0,0.0000,1.0000,false,false,true,false,25,Low source count; expand local makelaar coverage.,false,true,50
Bladel,Zuidoost-Brabant,false,,true,2,2,2,0,0,0,0.0000,1.0000,false,false,true,false,25,Low source count; expand local makelaar coverage.,false,true,50
Boekel,Noordoost-Brabant,false,,true,1,1,1,0,0,0,0.0000,1.0000,false,false,true,false,25,Low source count; expand local makelaar coverage.,false,true,50
Cranendonck,Zuidoost-Brabant,false,,true,2,2,2,0,0,0,0.0000,1.0000,false,false,true,false,25,Low source count; expand local makelaar coverage.,false,true,50
Loon op Zand,Midden-Brabant,false,,true,1,1,1,0,0,0,0.0000,1.0000,false,false,true,false,25,Low source count; expand local makelaar coverage.,false,true,50
Rucphen,West-Brabant,false,,true,1,1,1,0,0,0,0.0000,1.0000,false,false,true,false,25,Low source count; expand local makelaar coverage.,false,true,50
Sint-Michielsgestel,Noordoost-Brabant,false,,true,2,2,2,0,0,0,0.0000,1.0000,false,false,true,false,25,Low source count; expand local makelaar coverage.,false,true,50
Steenbergen,West-Brabant,false,,true,1,1,1,0,0,0,0.0000,1.0000,false,false,true,false,25,Low source count; expand local makelaar coverage.,false,true,50
Zundert,West-Brabant,false,,true,2,2,2,0,0,0,0.0000,1.0000,false,false,true,false,25,Low source count; expand local makelaar coverage.,false,true,50
's-Hertogenbosch,Noordoost-Brabant,true,Important gemeente for prioritization.,true,20,20,14,1,5,6,0.3000,0.7000,false,false,false,true,20,Important city with room to improve aanbod coverage.,false,false,40
Bergen op Zoom,West-Brabant,true,Important gemeente for prioritization.,true,7,6,4,2,1,3,0.4286,0.5714,false,false,false,true,20,Important city with room to improve aanbod coverage.,false,false,40
Best,Zuidoost-Brabant,true,Important gemeente for prioritization.,true,3,3,2,1,0,1,0.3333,0.6667,false,false,false,true,20,Important city with room to improve aanbod coverage.,false,false,40
Breda,West-Brabant,true,Important gemeente for prioritization.,true,20,18,13,1,6,7,0.3500,0.6500,false,false,false,true,20,Important city with room to improve aanbod coverage.,false,false,40
Eindhoven,Zuidoost-Brabant,true,Important gemeente for prioritization.,true,20,20,11,1,8,9,0.4500,0.5500,false,false,false,true,20,Important city with room to improve aanbod coverage.,false,false,40
Etten-Leur,West-Brabant,true,Important gemeente for prioritization.,true,6,6,5,0,1,1,0.1667,0.8333,false,false,false,true,20,Important city with room to improve aanbod coverage.,false,false,40
Helmond,Zuidoost-Brabant,true,Important gemeente for prioritization.,true,17,17,14,1,2,3,0.1765,0.8235,false,false,false,true,20,Important city with room to improve aanbod coverage.,false,false,40
Oosterhout,West-Brabant,true,Important gemeente for prioritization.,true,12,11,8,1,3,4,0.3333,0.6667,false,false,false,true,20,Important city with room to improve aanbod coverage.,false,false,40
Oss,Noordoost-Brabant,true,Important gemeente for prioritization.,true,11,11,10,1,0,1,0.0909,0.9091,false,false,false,true,20,Important city with room to improve aanbod coverage.,false,false,40
Roosendaal,West-Brabant,true,Important gemeente for prioritization.,true,9,9,5,1,3,4,0.4444,0.5556,false,false,false,true,20,Important city with room to improve aanbod coverage.,false,false,40
Tilburg,Midden-Brabant,true,Important gemeente for prioritization.,true,20,20,16,2,2,4,0.2000,0.8000,false,false,false,true,20,Important city with room to improve aanbod coverage.,false,false,40
Vught,Noordoost-Brabant,true,Important gemeente for prioritization.,true,8,7,4,0,4,4,0.5000,0.5000,false,true,false,false,20,High review rate; verify websites and aanbod links.,false,false,40
Waalwijk,Midden-Brabant,true,Important gemeente for prioritization.,true,8,8,7,0,1,1,0.1250,0.8750,false,false,false,true,20,Important city with room to improve aanbod coverage.,false,false,40
Maashorst,Noordoost-Brabant,true,Important gemeente for prioritization.,true,22,22,22,0,0,0,0.0000,1.0000,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.,false,false,20
Meierijstad,Noordoost-Brabant,true,Important gemeente for prioritization.,true,18,18,16,0,2,2,0.1111,0.8889,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.,false,false,20
Altena,West-Brabant,false,,true,20,19,11,1,8,9,0.4500,0.5500,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.,false,false,0
Asten,Zuidoost-Brabant,false,,true,4,4,3,0,1,1,0.2500,0.7500,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.,false,false,0
Bernheze,Noordoost-Brabant,false,,true,4,4,4,0,0,0,0.0000,1.0000,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.,false,false,0
Deurne,Zuidoost-Brabant,false,,true,6,6,4,0,2,2,0.3333,0.6667,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.,false,false,0
Drimmelen,West-Brabant,false,,true,12,11,7,2,3,5,0.4167,0.5833,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.,false,false,0
Eersel,Zuidoost-Brabant,false,,true,3,3,3,0,0,0,0.0000,1.0000,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.,false,false,0
Geertruidenberg,West-Brabant,false,,true,12,11,7,2,3,5,0.4167,0.5833,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.,false,false,0
Geldrop-Mierlo,Zuidoost-Brabant,false,,true,4,4,4,0,0,0,0.0000,1.0000,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.,false,false,0
Gemert-Bakel,Zuidoost-Brabant,false,,true,4,4,3,0,1,1,0.2500,0.7500,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.,false,false,0
Goirle,Midden-Brabant,false,,true,3,3,3,0,0,0,0.0000,1.0000,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.,false,false,0
Halderberge,West-Brabant,false,,true,5,5,5,0,0,0,0.0000,1.0000,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.,false,false,0
Heeze-Leende,Zuidoost-Brabant,false,,true,4,4,3,0,1,1,0.2500,0.7500,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.,false,false,0
Heusden,Noordoost-Brabant,false,,true,17,17,12,0,5,5,0.2941,0.7059,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.,false,false,0
Hilvarenbeek,Midden-Brabant,false,,true,4,4,4,0,0,0,0.0000,1.0000,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.,false,false,0
Laarbeek,Zuidoost-Brabant,false,,true,6,6,5,0,1,1,0.1667,0.8333,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.,false,false,0
Land van Cuijk,Noordoost-Brabant,false,,true,16,13,9,1,6,7,0.4375,0.5625,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.,false,false,0
Moerdijk,West-Brabant,false,,true,9,8,6,1,2,3,0.3333,0.6667,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.,false,false,0
"Nuenen, Gerwen en Nederwetten",Zuidoost-Brabant,false,,true,9,9,6,1,2,3,0.3333,0.6667,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.,false,false,0
Oirschot,Zuidoost-Brabant,false,,true,6,6,4,2,0,2,0.3333,0.6667,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.,false,false,0
Oisterwijk,Midden-Brabant,false,,true,10,10,9,1,0,1,0.1000,0.9000,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.,false,false,0
Someren,Zuidoost-Brabant,false,,true,4,4,3,0,1,1,0.2500,0.7500,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.,false,false,0
Waalre,Zuidoost-Brabant,false,,true,6,6,4,0,2,2,0.3333,0.6667,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.,false,false,0
Woensdrecht,West-Brabant,false,,true,7,6,4,2,1,3,0.4286,0.5714,false,false,false,false,0,Improve valid aanbod coverage and reduce manual review.,false,false,0
