gemeente,region_group,is_important,notes
's-Hertogenbosch,Noordoost-Brabant,true,Important gemeente for prioritization.
Alphen-Chaam,West-Brabant,false,
Altena,West-Brabant,false,
Asten,Zuidoost-Brabant,false,
Baarle-Nassau,West-Brabant,false,
Bergeijk,Zuidoost-Brabant,false,
Bergen op Zoom,West-Brabant,true,Important gemeente for prioritization.
Bernheze,Noordoost-Brabant,false,
Best,Zuidoost-Brabant,true,Important gemeente for prioritization.
Bladel,Zuidoost-Brabant,false,
Boekel,Noordoost-Brabant,false,
Boxtel,Noordoost-Brabant,true,Important gemeente for prioritization.
Breda,West-Brabant,true,Important gemeente for prioritization.
Cranendonck,Zuidoost-Brabant,false,
Deurne,Zuidoost-Brabant,false,
Dongen,Midden-Brabant,false,
Drimmelen,West-Brabant,false,
Eersel,Zuidoost-Brabant,false,
Eindhoven,Zuidoost-Brabant,true,Important gemeente for prioritization.
Etten-Leur,West-Brabant,true,Important gemeente for prioritization.
Geertruidenberg,West-Brabant,false,
Geldrop-Mierlo,Zuidoost-Brabant,false,
Gemert-Bakel,Zuidoost-Brabant,false,
Gilze en Rijen,Midden-Brabant,false,
Goirle,Midden-Brabant,false,
Halderberge,West-Brabant,false,
Heeze-Leende,Zuidoost-Brabant,false,
Helmond,Zuidoost-Brabant,true,Important gemeente for prioritization.
Heusden,Noordoost-Brabant,false,
Hilvarenbeek,Midden-Brabant,false,
Laarbeek,Zuidoost-Brabant,false,
Land van Cuijk,Noordoost-Brabant,false,
Loon op Zand,Midden-Brabant,false,
Maashorst,Noordoost-Brabant,true,Important gemeente for prioritization.
Meierijstad,Noordoost-Brabant,true,Important gemeente for prioritization.
Moerdijk,West-Brabant,false,
"Nuenen, Gerwen en Nederwetten",Zuidoost-Brabant,false,
Oirschot,Zuidoost-Brabant,false,
Oisterwijk,Midden-Brabant,false,
Oosterhout,West-Brabant,true,Important gemeente for prioritization.
Oss,Noordoost-Brabant,true,Important gemeente for prioritization.
Reusel-De Mierden,Zuidoost-Brabant,false,
Roosendaal,West-Brabant,true,Important gemeente for prioritization.
Rucphen,West-Brabant,false,
Sint-Michielsgestel,Noordoost-Brabant,false,
Someren,Zuidoost-Brabant,false,
Son en Breugel,Zuidoost-Brabant,false,
Steenbergen,West-Brabant,false,
Tilburg,Midden-Brabant,true,Important gemeente for prioritization.
Valkenswaard,Zuidoost-Brabant,false,
Veldhoven,Zuidoost-Brabant,true,Important gemeente for prioritization.
Vught,Noordoost-Brabant,true,Important gemeente for prioritization.
Waalre,Zuidoost-Brabant,false,
Waalwijk,Midden-Brabant,true,Important gemeente for prioritization.
Woensdrecht,West-Brabant,false,
Zundert,West-Brabant,false,
